coord,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5
-35,0.00621357,,0.024279562,,0.045491033
-34,0.006175787,,0.024334279,,0.046372512
-33,0.006130827,,0.024398947,,0.047350912
-32,0.006091289,,0.024511548,,0.048519301
-31,0.006057232,,0.024699232,,0.04999392
-30,0.006033678,,0.025004641,,0.051909617
-29,0.006024596,,0.025477952,,0.05441905
-28,0.006034303,,0.02618125,,0.057689763
-27,0.006065748,,0.027179766,,0.061877659
-26,0.006119928,,0.028550729,,0.067130317
-25,0.006190076,,0.030331967,,0.073437455
-22.5,0.006328268,,0.035807744,,0.091028937
-20,0.006219261,,0.041698806,,0.10804079
-17.5,0.005654776,,0.047425524,,0.12255556
-15,0.004494743,,0.05255401,,0.13362304
-12.5,0.002695815,,0.056715424,,0.14117163
-10,0.000350063,,0.059432554,,0.1457473
-7.5,-0.002324399,,0.060717738,,0.14822283
-5,-0.00503535,,0.0609948,,0.14951137
-2.5,-0.007486414,,0.060904614,,0.15041482
0,-0.009849738,,0.060693607,,0.15120077
